Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_32_808.jpg;0;1;0;0.583149;100.1835;86.15182;1.226123;35.40049;-0.001264835
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_32_874.jpg;0;1;0;0.6503289;100.2162;86.17504;1.241516;35.41325;-0.001178911
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_32_942.jpg;0;1;0;0.7154272;100.2506;86.19936;1.215746;35.38758;-0.001541675
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_009.jpg;0;1;0;0.7663112;100.3009;86.23475;1.189059;35.35145;0.0003167649
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_075.jpg;0;1;0;0.8172196;100.3421;86.26367;1.205351;35.24714;-0.0004697861
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_140.jpg;0;1;0;0.8866643;100.3855;86.29411;1.211179;35.22976;-0.001441332
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_208.jpg;0;1;0;0.9337758;100.4476;86.33765;1.224713;35.23232;-0.0008281361
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_276.jpg;0;1;0;0.9882489;100.4969;86.37215;1.222694;35.22485;-0.0008735025
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_341.jpg;0;1;0;1.047677;100.5483;86.40815;1.216105;35.23306;-0.0008367265
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_410.jpg;0;1;0;1.091206;100.6204;86.45871;1.220484;35.31631;-0.001229499
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_475.jpg;0;1;0;1.141717;100.6773;86.49862;1.224356;35.30816;-0.0004741661
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_540.jpg;0;1;0;1.202365;100.7365;86.54015;1.227762;35.26282;-0.0006288952
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_607.jpg;1.531209;1;0;1.248622;100.8187;86.59829;1.232489;35.28424;-0.001192678
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_676.jpg;4.498644;1;0;1.29796;100.8823;86.64495;1.236646;35.56402;-0.002843568
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_740.jpg;7.538531;1;0;1.357565;100.9468;86.69461;1.229199;36.09549;0.0001501386
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_808.jpg;10.53108;1;0;1.405061;101.034;86.7666;1.231804;37.23031;0.03199413
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_876.jpg;7.564151;1;0;1.450331;101.1015;86.82326;1.235676;38.06054;0.02694992
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_33_943.jpg;4.483356;1;0;1.51264;101.1711;86.88161;1.237628;38.67781;-0.004687724
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_008.jpg;1.528022;1;0;1.560205;101.2676;86.96234;1.255763;39.09647;-0.003364036
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_076.jpg;0;1;0;1.605862;101.343;87.0239;1.258714;39.15092;-0.001464629
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_142.jpg;0;1;0;1.667561;101.4209;87.08694;1.263769;39.15077;-0.001090748
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_211.jpg;0;1;0;1.714341;101.5283;87.17365;1.27357;39.13588;-0.001039246
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_269.jpg;0;1;0;1.775535;101.6112;87.2406;1.276304;39.12639;-0.001063158
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_329.jpg;0;1;0;1.806025;101.6963;87.30927;1.278414;39.11436;-0.001058783
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_397.jpg;0;1;0;1.851475;101.7836;87.37967;1.285147;39.10411;-0.001094066
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_468.jpg;0;1;0;1.911246;101.9033;87.47614;1.291012;39.08815;-0.001102662
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_542.jpg;0;1;0;1.972136;101.9955;87.55042;1.294018;39.07693;-0.001116967
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_607.jpg;0;1;0;2.016251;102.1218;87.65212;1.301187;39.06213;-0.001147661
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_676.jpg;0;1;0;2.061058;102.2189;87.73029;1.302818;39.05105;-0.001173815
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_740.jpg;0;1;0;2.120471;102.3182;87.81012;1.304836;39.04035;-0.001166397
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_811.jpg;0;1;0;2.165455;102.4538;87.91915;1.310161;39.02629;-0.001216359
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_875.jpg;0;1;0;2.209779;102.5579;88.00285;1.313849;39.01363;-0.00121588
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_34_940.jpg;0;1;0;2.267751;102.6641;88.08813;1.315198;39.00288;-0.001226556
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_35_008.jpg;0;0.7973022;0;2.309352;102.8085;88.20412;1.313099;38.98967;-0.0007898413
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_35_074.jpg;0;0.6014144;0;2.342089;102.9185;88.29245;1.315565;38.97708;-0.0006700154
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_35_140.jpg;0;0.400213;0;2.369946;103.0294;88.38136;1.307054;38.96231;-0.0006296084
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_35_209.jpg;0;0.200392;0;2.380103;103.1773;88.49995;1.253629;38.94216;-0.0005352841
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_35_275.jpg;0;0;0;2.381802;103.2876;88.58836;1.169346;38.92733;-0.0004280965
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_35_340.jpg;0;0;0;2.372591;103.3971;88.67604;1.04569;38.91325;-0.0002975096
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_35_408.jpg;0;0;0;2.365187;103.5419;88.79202;0.837209;38.89566;-1.657031E-05
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_35_474.jpg;0;0;0;2.357753;103.6498;88.87846;0.6602207;38.88452;0.003246076
/home/ohnozzy/RoboND-Rover-Project/IMG/robocam_2018_09_09_16_53_35_541.jpg;0;0;0;2.347683;103.7571;88.96461;0.4744896;38.87741;0.01371065
